,store,address,phone,sido-gu
0,가경동점,충청북도 청주시흥덕구 풍산로 103(복대동),043-233-4091,"['충청북도', '청주시흥덕구']"
1,가남점,경기도 여주시 가남면 태평중앙1길 8-6,031-883-5746,"['경기도', '여주시']"
2,가래비점,경기도 양주시 광적면 가래비길 24,031-855-6126,"['경기도', '양주시']"
3,가마점,"충청북도 청주시서원구 남이면 청남로 1827-25, 1층",043-287-2003,"['충청북도', '청주시서원구']"
4,가수원점,대전광역시 서구 가수원동 774-18,042-541-1350,"['대전광역시', '서구']"
5,가오점,대전광역시 동구 가오동 533,042-284-0391,"['대전광역시', '동구']"
6,가운점,경기도 남양주시 가운로2길 63 가운동삼원프라자 105호,031-557-9222,"['경기도', '남양주시']"
7,가장점,대전광역시 서구 가장동 40-40,042-532-1140,"['대전광역시', '서구']"
8,가정지구1점,인천광역시 서구 봉오재2로 37 104호,032-567-5885,"['인천광역시', '서구']"
9,가좌3점,인천광역시 서구 가석로156번길 23-1,032-575-8999,"['인천광역시', '서구']"
10,가평역전점,경기도 가평군 가평읍 굴다리길 13,031-582-5242,"['경기도', '가평군']"
11,가평점,경기도 가평군 가평읍 가화로 125-1,031-582-4419,"['경기도', '가평군']"
12,가흥점,경상북도 영주시 가흥동 530 시영상가 나동 102호,054-634-2500,"['경상북도', '영주시']"
13,각화주공점,광주광역시 북구 각화동 202번지 주공@상가 107호,062-264-8529,"['광주광역시', '북구']"
14,간성점,강원도 고성군 간성읍 간성로 45,033-681-3330,"['강원도', '고성군']"
15,간현점,강원도 원주시 지정면 간현로 188,033-731-0887,"['강원도', '원주시']"
16,갈곶원동점,경기도 오산시 오산로 68(갈곶동),031-372-3573,"['경기도', '오산시']"
17,갈마점,대전광역시 서구 갈마로 60(갈마동),042-531-9962,"['대전광역시', '서구']"
18,갈산점,인천광역시 부평구 갈산동 364-4,032-522-9292,"['인천광역시', '부평구']"
19,갈산점(이천),"경기도 이천시 갈산로 81(갈산동, 102)",031-638-8320,"['경기도', '이천시']"
20,갈산점(홍성),충청남도 홍성군 갈산면 상촌리 243-12,041-634-1881,"['충청남도', '홍성군']"
21,감곡점,충청북도 음성군 감곡면 장감로 142,043-881-3903,"['충청북도', '음성군']"
22,감삼점,대구광역시 달서구 두류3동 630-1,053-562-9929,"['대구광역시', '달서구']"
23,강경점,충청남도 논산시 강경읍 대흥리 19-3,041-745-1206,"['충청남도', '논산시']"
24,강구점,경상북도 영덕군 강구면 강구리 453번지,054-733-5544,"['경상북도', '영덕군']"
25,강남구청점,서울특별시 강남구 삼성로119길 41. 1층(삼성동),02-515-3576,"['서울특별시', '강남구']"
26,강남대점,경기도 용인시기흥구 강남동로 114번길 22,031-284-9292,"['경기도', '용인시기흥구']"
27,강남점,대구광역시 동구 신암로16길 2,053-941-2510,"['대구광역시', '동구']"
28,강릉교동점,강원도 강릉시 강릉대로 269 (교동),033-642-9800,"['강원도', '강릉시']"
29,강릉대점,강원도 강릉시  율곡초교길39번  23(교동),033-645-6288,"['강원도', '강릉시']"
30,강릉서부점,강원도 강릉시 임영로 170-3(임당동),033-641-1930,"['강원도', '강릉시']"
31,강릉옥계점,강원도 강릉시  옥계면 현내시장길 59,033-534-2587,"['강원도', '강릉시']"
32,강릉옥천동점,강원도 강릉시  경강로 2166,033-642-1532,"['강원도', '강릉시']"
33,강릉유천점,강원도 강릉시  선수촌로 63번길 5 우미린상가106,033-641-8494,"['강원도', '강릉시']"
34,강북점,대구광역시 북구 읍내동 803-1,053-322-5090,"['대구광역시', '북구']"
35,강상점,"경기도 양평군 강상면 강남로 922, 107호",031-775-8259,"['경기도', '양평군']"
36,강서점,충청북도 청주시흥덕구 가로수로1154 5-12(강서동),043-232-5254,"['충청북도', '청주시흥덕구']"
37,강선점,경기도 고양시일산서구 강선로 67번지 유원상가 103호,031-912-5558,"['경기도', '고양시일산서구']"
38,강진점,전라남도 강진군 강진읍 탐진로 76-1,061-433-8292,"['전라남도', '강진군']"
39,강화1점,인천광역시 강화군 강화읍 강화대로403번길 5,032-933-3153,"['인천광역시', '강화군']"
40,강화2점,인천광역시 강화군 강화읍 남산리 39-1,032-934-9200,"['인천광역시', '강화군']"
41,개군점,경기도 양평군 개군면 하자포길 35,031-772-4612,"['경기도', '양평군']"
42,개금점,부산광역시 부산진구 개금3동 18,051-897-6061,"['부산광역시', '부산진구']"
43,개봉1점,"서울특별시 구로구 개봉로11길 13, 1층 3호(개봉동)",02-2688-9292,"['서울특별시', '구로구']"
44,개신점,충청북도 청주시서원구 장구봉로 130 1층,043-218-9292,"['충청북도', '청주시서원구']"
45,개운점,강원도 원주시 송림길 48-10(개운동),033-761-2592,"['강원도', '원주시']"
46,개포2점,서울특별시 강남구 선릉로6길 12. 1층(개포동),02-575-2405,"['서울특별시', '강남구']"
47,개포3점,서울특별시 강남구 개포로22길 23. 지상1층(개포동),02-575-8993,"['서울특별시', '강남구']"
48,거모점,경기도 시흥시 도일로 100-3,031-492-8222,"['경기도', '시흥시']"
49,거제상동점,"경상남도 거제시 상동1길 15-9(상동동, 320동 103호)",055-636-0588,"['경상남도', '거제시']"
50,거창점,경상남도 거창군 거창읍 중앙로 52-1,055-945-2765,"['경상남도', '거창군']"
51,건등점,"강원도 원주시 문막읍 왕건로 96, 지하1층",033-734-7282,"['강원도', '원주시']"
52,건영점,경기도 고양시일산서구 성저로 110번지,031-915-9292,"['경기도', '고양시일산서구']"
53,건천점,"경상북도 경주시 건천읍 내서로 1126, 101",054-751-3510,"['경상북도', '경주시']"
54,검암경서점,인천광역시 서구 검암동 643-2 우주프라자 104,032-565-7768,"['인천광역시', '서구']"
55,경기송산점,경기도 화성시 수노을1로191 상가3동 105호,031-356-7877,"['경기도', '화성시']"
56,경남고성점,경상남도 고성군 고성읍 송학리 263-7,055-673-6633,"['경상남도', '고성군']"
57,경남금산점,경상남도 진주시 금산면 금산로 101,055-763-9299,"['경상남도', '진주시']"
58,경남단계점,경상남도 산청군 신등면 신등가회로 15,055-972-3018,"['경상남도', '산청군']"
59,경남사천점,경상남도 사천시 사천읍 정의1길 16,055-852-3197,"['경상남도', '사천시']"
60,경남양산점,경상남도 양산시 중앙로 111 1층,055-385-5329,"['경상남도', '양산시']"
61,경복점,"서울특별시 강남구 봉은사로43길 8, 1층 102호(논현동)",02-3448-9999,"['서울특별시', '강남구']"
62,경안점,경기도 광주시 중앙로 179 (송정동),031-762-0415,"['경기도', '광주시']"
63,경포대점,강원도 강릉시  해안로 501 ,033-644-1600,"['강원도', '강릉시']"
64,계산1점,인천광역시 계양구 계산2동 933-25,032-543-4195,"['인천광역시', '계양구']"
65,계양1동점,인천광역시 계양구 황어로115번길 10,032-512-9876,"['인천광역시', '계양구']"
66,고강1점,경기도 부천시오정구 원종동 238-10,032-673-2342,"['경기도', '부천시오정구']"
67,고강2점,경기도 부천시오정구 고강동 399,032-671-1980,"['경기도', '부천시오정구']"
68,고담리점,경기도 이천시 대월면 대산로288번길 72,031-637-6683,"['경기도', '이천시']"
69,고대점,충청남도 당진시 고대면 고대로 47,041-352-8295,"['충청남도', '당진시']"
70,고덕역점,서울특별시 강동구 고덕1동 643-2,02-428-0777,"['서울특별시', '강동구']"
71,고덕점,충청남도 예산군 고덕면 용고길 353,041-337-8319,"['충청남도', '예산군']"
72,고매리점,경기도 용인시기흥구 고매동 722-2,031-286-4296,"['경기도', '용인시기흥구']"
73,고북점,충청남도 서산시 고북면 기포리 300-2,041-663-1956,"['충청남도', '서산시']"
74,고색점,"경기도 수원시권선구 매송고색로 687, 1층",031-292-1833,"['경기도', '수원시권선구']"
75,고은점,충청북도 청주시상당구 남일면 단재로 730-1,043-293-8592,"['충청북도', '청주시상당구']"
76,고잔2점,경기도 안산시단원구 고잔동 733-1 104,031-414-9070,"['경기도', '안산시단원구']"
77,고잔점,경기도 안산시단원구 고잔동 612 문화연립상가동 110,031-401-1452,"['경기도', '안산시단원구']"
78,고척동점,서울특별시 구로구 고척2동 164-41,02-2685-0223,"['서울특별시', '구로구']"
79,고천점,"경기도 의왕시 효행로 44(오전동, 의왕빌딩3호)",031-454-0055,"['경기도', '의왕시']"
80,고한점,강원도 정선군 고한읍 고한로 151-1,033-591-8212,"['강원도', '정선군']"
81,곡반정점,"경기도 수원시권선구 곡선로50번길 48/107(곡반정동,현대@상가)",031-234-9266,"['경기도', '수원시권선구']"
82,곤명점,경상남도 사천시 곤명면 정곡리 843-9,055-853-8382,"['경상남도', '사천시']"
83,곤지암점,"경기도 광주시 곤지암읍 곤지암로50번길, 25",031-762-3660,"['경기도', '광주시']"
84,공덕동점,서울특별시 마포구 공덕동 111-187,02-707-1371,"['서울특별시', '마포구']"
85,공덕역점,"서울특별시 마포구 마포대로11길 75 102 (공덕동, 공덕현대아파트상가)",02-704-0401,"['서울특별시', '마포구']"
86,공도점,경기도 안성시 공도읍 고무다리길 10-1,031-653-9441,"['경기도', '안성시']"
87,공릉철길공원점,서울특별시 노원구 동일로184길 69. 1층(공릉동),02-978-9222,"['서울특별시', '노원구']"
88,공성점,경상북도 상주시 공성면 옥산리 290-8,054-535-5000,"['경상북도', '상주시']"
89,공주산성동점,충청남도 공주시 산성찬호길 1(산성동),041-854-1215,"['충청남도', '공주시']"
